"Country or Area","Year","Value","Value Footnotes"
"China","1994","37601000","3"
"China","1993","31312500","3"
"China","1992","27345000","3"
"China","1991","19520000","3"
"China","1990","16596100","3"
"China","1989","11080000","3"
"China","1988","17000000","3"
"China","1987","12500000","3"
"China","1986","10000000","3"
"China","1985","7300000","3"
"China","1984","5000000","3"
"China","1983","3836000","3"
"China","1982","3942000","3"
"China","1981","3236000","3"
"China","1980","2568000","3"
"China","1979","2519000","3"
"China","1978","1540000","3"
"China","1977","1110000","3"
"China","1976","1050000","3"
"China","1975","1000000","3"
"China","1974","710000","3"
"India","2021","83964797",""
"India","2020","68959633",""
"India","2019","167499116","2"
"India","2018","164035637.545",""
"India","2017","139752424",""
"India","2016","119577835",""
"India","2015","98927860",""
"India","2014","82718882.88",""
"India","2013","75589071",""
"India","2012","72151828.8895485",""
"India","2011","73996912",""
"India","2010","64374253.8038964",""
"India","2009","54446373",""
"India","2008","49877935",""
"India","2007","51897450",""
"India","2006","40288794",""
"India","2005","27879461",""
"India","2004","23934074",""
"India","2003","19455085",""
"India","2002","17633019",""
"India","2001","16862737",""
"India","2000","17299483",""
"India","1999","16005400",""
"India","1998","16521000",""
"India","1997","16039800",""
"India","1996","13394600",""
"India","1995","14260600",""
"India","1994","11518400",""
"India","1993","9441600",""
"India","1992","11127100",""
"India","1991","10717400",""
"India","1990","10862200",""
"India","1989","12740100",""
"India","1988","12863100",""
"India","1987","12668600",""
"India","1986","11785200",""
"India","1985","10993800",""
"India","1984","10125700",""
"India","1983","9164800",""
"India","1982","8391700",""
"India","1981","7574500",""
"India","1980","6603100",""
"India","1979","6546800",""
"India","1978","6099600",""
"India","1977","5147500",""
"India","1976","4534000",""
"India","1975","3839900",""
"India","1974","3037300",""
"India","1973","3391600",""
"India","1972","3285800",""
"India","1971","2554000",""
"India","1970","2671600",""
"Russia","2021","96851769",""
"Russia","2020","62447448",""
"Russia","2019","108857906","2"
"Russia","2018","99327311",""
"Russia","2017","89373638",""
"Russia","2016","77458318",""
"Russia","2015","76846126",""
"Russia","2014","72189961",""
"Russia","2013","64072322",""
"Russia","2012","58727125",""
"Russia","2011","50555805",""
"Russia","2010","43855539",""
"Russia","2009","34402844",""
"Russia","2008","37940321",""
"Russia","2007","33187839",""
"Russia","2006","28836949",""
"Russia","2005","26522315",""
"Russia","2004","25948923",""
"Russia","2003","22723072",""
"Russia","2002","20892156",""
"Russia","2001","20301199",""
"Russia","2000","17687894",""
"Russia","1999","18600400",""
"Russia","1998","15223700",""
"Russia","1997","20419000",""
"Russia","1996","22117100",""
"Russia","1995","26524800",""
"Russia","1994","28933100",""
"Russia","1993","36124000",""
"Russia","1992","62173900",""
"Russia","1991","128760600",""
"United States","2021","666153000",""
"United States","2020","369501000",""
"United States","2019","926737000","2"
"United States","2018","889024000",""
"United States","2017","849403000",""
"United States","2016","824039000",""
"United States","2015","798222000",""
"United States","2014","762710000",""
"United States","2013","743171000",""
"United States","2012","736699000",""
"United States","2011","730796000","4"
"United States","2010","720497000","4"
"United States","2009","679423408","4"
"United States","2008","701779551","4"
"United States","2007","744302310","5"
"United States","2006","725530965","5"
"United States","2005","720547738","6"
"United States","2004","678110608","7"
"United States","2003","588997110","7"
"United States","2002","598410415","7"
"United States","2001","622187846","7"
"United States","2000","665327414","7"
"United States","1999","634364608","7"
"United States","1998","588170880","7"
"United States","1997","590571392","7"
"United States","1996","571072000","7"
"United States","1995","533512096","7"
"United States","1994","514924000","7"
"United States","1993","469926112","7"
"United States","1992","466964992","7"
"United States","1991","452015904","7"
"United States","1990","464574016","7"
"United States","1989","453161504","4"
"United States","1988","454202912","4"
"United States","1987","441832704","4"
"United States","1986","414554496","4"
"United States","1985","372059104","4"
"United States","1984","340191488","4"
"United States","1983","315600096","4"
"United States","1982","290992608","4"
"United States","1981","281086400","4"
"United States","1980","295329088","4"
"United States","1979","313624000","4"
"United States","1978","273025504","4"
"United States","1977","240144992","4"
"United States","1976","223017296","4"
"United States","1975","204900400","4"
"United States","1974","207612400","4"
"United States","1973","202309200","4"
"United States","1972","191325408","4"
"United States","1971","174143104","4"
"United States","1970","163448992","4"

"footnoteSeqID","Footnote"
"2","Despite the exceptional circumstances faced by the aviation industry and ICAO during the data collection and collation period, data officially provided by ICAO Member States reflects 97% of the data reported here, with the remainder calculated according to ICAOâ€™s methodology."
"3","For statistical purposes,  the data for China exclude the traffic for the Hong Kong and Macao Special Administrative Regions (Hong Kong SAR and Macao SAR)."
"4","Covers air carriers designated by the U.S Department of Transportation as major and national air carriers."
"5","
Covers air carriers designated by the U.S Department of Transportation as major and national air carriers."
"6","
Covers air carriers designated by the U.S Department of Transportation as major and national air carriers."
"7","Covers air carriers designated by the U.S Department of Transportation as major and national air carriers
Covers air carriers designated by the U.S Department of Transportation as major and national air carriers."
